dealership_name,city,state,website,contact_email,hook_notes,status,last_drafted_at,last_sent_at
Premier Auto Group,Fort Wayne,IN,https://premierautofortwayne.com/,,"BHPH, 2 locations, local independent",needs_email_lookup,,
SweetCars,Fort Wayne,IN,https://www.sweetcars.com/,mike@sweetcars.com,"NE Indiana luxury/performance independent",drafted,2026-06-06,
Preferred Automotive Group,Fort Wayne,IN,https://preferredautogroup.com/,,"Independent since 1989, started as 3-employee 6-vehicle lot",needs_email_lookup,,
Cars2You,Mishawaka,IN,https://www.cars2you.com/,alan@cars2you.com,"Consignment model, serves South Bend + Elkhart counties",drafted,2026-06-06,
Automax of Indiana,Mishawaka,IN,https://www.automaxindiana.com/,sales@automaxindiana.com,"Michiana indie, wide selection; reviews flag slow response (2-wk wait complaint)",drafted,2026-06-09,
RGS Hot Deals Auto Sales,Elkhart,IN,https://www.hotdealsautosales.com/,rgshotdealsautosales@gmail.com,"Established independent, years in Elkhart market",drafted,2026-06-08,
S&H Motor Sales,Elkhart,IN,https://www.shmotorsales.com/,brian@shmotorsales.com,"Serves South Bend + Elkhart, family-feel",drafted,2026-06-08,
Main Street Motors,Elkhart,IN,https://www.msmelkhart.com/,,"2611 S Main St Elkhart, family-run, M-F 9-6 Sat 9-3 closed Sun",needs_email_lookup,,
TC Auto Sales,Elkhart,IN,https://www.tcautosales.net/,tcautosalesllc2@gmail.com,"2730 Old US 20, founded 2023, rust-free trucks focus",drafted,2026-06-08,
Madison Motors,La Porte,IN,https://madisonmotorsinc.com/,madimotors@comcast.net,"Owner Steve Draves since 2000; eclectic lot trucks/boats/campers/bikes; Sat-noon close, closed Sun",drafted,2026-06-09,
Zim's Auto Sales,Logansport,IN,https://www.zimsautos.com/,accounts@zimsautos.com,"Serves Logansport/Kokomo/Peru/Rochester - your backyard",drafted,2026-06-06,
Trent Family Auto,Kokomo,IN,https://www.trentfamilyautoin.com/,,"Family-owned, 2 Kokomo locations, all-credit financing focus; site is DealerCenter forms-only, no public email (checked 2026-06-10)",needs_email_lookup,,
The Car Company,Goshen,IN,https://www.thecarcompany.com/,,"Indie group with Goshen + Warsaw lots, zero-pressure family angle; site is JS-rendered, email not reachable by fetch (checked 2026-06-10)",needs_email_lookup,,
